Gafanhotos;Aristida hamulosa;Bouteloua curtipendula;Bouteloua gracilis;Bouteloua hirsuta;Buchloe dactyloides;Eragrostis intermedia;Leptaloma  cognata;Muhlenbergia sp.;Panicum obtusum;Scleropogon brevifolius;Setaria leucophila;Sporobolus sp.;Dychoriste linearis;Conyza coulteri;Eupatorium greggii;Iva dealbata;Machaeranthera scabrella;Ratibida columnaris;Xanthocephalum texanum;Xanthocephalum sp.;Zinnia grandiflora;Cryptantha mexicana;Convolvulus equitans;Croton pottsii;Hoffmanseggia glauca;Prosopis glandulosa;Linum  rigidum;Calyophus hartwegii;Gaura coccinea;Oenothera sp.;Gilia rigida;Polygala longa;Condalia ericoides;Ziziphus obtusifolius;Verbena wrightii;voucher No.28;A;B;C;D;E;F;G;H;J;M;N;O;P;Q;R;S
Ageneotettix deorum;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Aulocara femoratum;0;0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Boopedon nubilum;0;0;1;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cordillacris crenulata;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Eritettix variabilis;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Opeia obscura;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Philbostroma quadrimaculatum;0;0;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Psoloessa texana;0;0;1;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Syrbula fuscovittata;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Arphia crassa;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
